,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
0,2006.0,82.53,76.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,2008.0,35.52,82.0,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2009.0,32.77,80.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,2006.0,29.8,89.0,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2006.0,28.92,58.0,6.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2009.0,28.32,87.0,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2005.0,23.21,91.0,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7,2007.0,22.7,80.0,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8,2010.0,21.81,61.0,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2009.0,21.79,80.0,7.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,2013.0,21.04,97.0,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,2004.0,20.81,95.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2005.0,20.15,77.0,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,2013.0,16.27,97.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2002.0,16.15,95.0,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,2005.0,15.29,77.0,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,2001.0,14.98,95.0,8.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17,2011.0,14.73,88.0,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2010.0,14.61,87.0,6.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,2012.0,13.79,83.0,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,2012.0,13.67,83.0,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,2009.0,13.47,94.0,6.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22,2011.0,13.32,88.0,3.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,2001.0,13.1,97.0,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,2008.0,12.84,93.0,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2011.0,12.66,85.0,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,2010.0,12.63,88.0,6.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
27,2014.0,12.61,97.0,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,2005.0,12.13,86.0,8.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29,2007.0,12.12,94.0,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,2004.0,11.66,89.0,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
