,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
0,2008.0,35.52,82.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,2009.0,32.77,80.0,80.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,2006.0,29.8,89.0,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2009.0,28.32,87.0,84.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2005.0,23.21,91.0,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,2007.0,22.7,80.0,77.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,2010.0,21.81,61.0,63.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,2009.0,21.79,80.0,74.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8,2013.0,21.04,97.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2004.0,20.81,95.0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2005.0,20.15,77.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2013.0,16.27,97.0,81.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2002.0,16.15,95.0,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,2005.0,15.29,77.0,71.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14,2001.0,14.98,95.0,84.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,2011.0,14.73,88.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,2010.0,14.61,87.0,63.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,2012.0,13.79,83.0,53.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2012.0,13.67,83.0,48.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19,2009.0,13.47,94.0,63.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
